회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)국영지앤엠,6050,2020-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2021-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국영지앤엠,6050,2022-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국전약품,307750,2018-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국전약품,307750,2019-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국전약품,307750,2020-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국전약품,307750,2021-12-01,-4569045,3803662,234352561,800.88,8.32,48.35,0.29,3.83,-1.7999262711133182
(주)국전약품,307750,2022-12-01,8877145,-6019315,92323187,202.14,112.4,18.82,0.53,3.8,4.526906409556726
(주)그래디언트,35080,2011-12-01,-12292479,30951834,328872047,81.65,136.46,34.12,0.65,-5.17,-1.5807139214004144
(주)그래디언트,35080,2012-12-01,12756395,-36922160,396658401,89.27,86.55,34.16,0.6,3.86,1.7238709849767986
(주)그래디언트,35080,2013-12-01,23780984,79408763,751939530,135.82,112.58,10.46,2.51,8.31,1.487702557680277
(주)그래디언트,35080,2014-12-01,31456346,231909338,900343355,130.06,113.29,9.76,1.78,6.17,1.638051939600909
(주)그래디언트,35080,2015-12-01,42995247,-17283547,903808796,125.25,133.09,10.96,1.76,7.22,2.040879346009503
(주)그래디언트,35080,2016-12-01,-39011241,115110645,840330799,123.45,146.75,10.99,1.84,5.68,-1.8813862815734888
(주)그래디언트,35080,2017-12-01,-63634928,185478374,742316982,125.96,143.09,10.89,1.83,3.77,-3.5263924506399604
(주)그래디언트,35080,2018-12-01,-4194664,89690570,714481098,124.21,153.28,10.32,1.9,2.74,-0.23179235862863437
(주)그래디언트,35080,2019-12-01,6507368,136435672,669586510,123.13,165.84,11.1,1.9,6.53,0.3655718105627764
(주)그래디언트,35080,2020-12-01,-25807835,-69055960,609773674,117.17,162.86,8.44,1.87,-1.74,-1.6101115346388954
(주)그래디언트,35080,2021-12-01,-4593076,58786042,589088805,125.13,180.81,4.21,1.91,0.41,-0.2776585072296273
(주)그래디언트,35080,2022-12-01,338864154,19831096,882241958,149.83,100.56,4.33,2.09,1.98,19.15135542830741
(주)그리티,204020,2018-12-01,4810592,5431995,74460588,500.58,28.6,58.91,1.41,12.33,5.023853055030112
(주)그리티,204020,2019-12-01,1563323,-1686901,74181103,477.62,24.23,54.17,1.31,3.92,1.6964687187837744
(주)그리티,204020,2020-12-01,836636,3256329,71954329,619.88,21.31,52.8,1.38,2.94,0.9585083749302072
(주)그리티,204020,2021-12-01,-7051370,117235,66589199,415.92,29.97,51.66,1.25,-10.91,-8.147589460916356
(주)그리티,204020,2022-12-01,1839014,795305,68345434,412.77,29.49,58.43,1.64,4.26,2.077942123029395
(주)그린플러스,186230,2019-12-01,2533086,-2089558,37391337,220.53,93.42,19.36,0.72,16.54,3.5025117189468733
(주)그린플러스,186230,2020-12-01,-2138595,2648942,34033434,145.71,161.83,17.28,0.78,16.62,-2.3999344724112266
(주)그린플러스,186230,2021-12-01,-4744141,-950616,60808874,261.18,67.18,12.81,0.87,10.75,-4.666704597269756
(주)그린플러스,186230,2022-12-01,-3517012,8619858,60720614,155.66,74.53,11.91,0.8,5.92,-3.31873625936293
(주)극동자동화,272420,2017-12-01,-3517012,8619858,60720614,155.66,74.53,11.91,0.8,5.92,-3.31873625936293
(주)글로벌스탠다드테크놀로지,83450,2011-12-01,3521902,4492432,27594673,152.89,90.53,37.58,0.93,16.51,6.69878253562441
(주)글로벌스탠다드테크놀로지,83450,2012-12-01,7003711,4001355,36008304,197.65,49.48,38.3,1.22,25.54,13.012096063552184
(주)글로벌스탠다드테크놀로지,83450,2013-12-01,5925826,1561871,42629997,221.07,46.91,32.42,1.39,19.15,9.462128316135445
(주)글로벌스탠다드테크놀로지,83450,2014-12-01,7880919,12091380,50846053,268.19,37.62,32.16,1.34,18.4,11.262922750347398
(주)글로벌스탠다드테크놀로지,83450,2015-12-01,5703892,6748971,56675666,338.59,22.97,36.1,1.21,11.18,8.18443238681393
(주)글로벌스탠다드테크놀로지,83450,2016-12-01,4644376,158727,60779819,211.09,47.1,36.71,1.14,8.31,5.194712054663185
(주)글로벌스탠다드테크놀로지,83450,2017-12-01,15756344,17990434,78275559,266.78,30.82,34.43,1.7,32.02,15.386954161402988
