,회사명,거래소코드,회계년도,외환보유액(천달러),경기동행지수,총자본투자효율,CASH FLOW 대 총자본비율,CASH FLOW 대 부채비율,부가가치율,타인자본회전률,자기자본정상영업이익률,순운전자본회전률,당좌비율,순이익증가율,정상영업이익증가율,부실
168,(주)골프존뉴딘홀딩스,121440,2014,353600472,87.2,21.71,6.05,16.73,38.5,1.76,22.48,1.0,75.96,2726.300477622375,27.21,0.0
169,(주)골프존뉴딘홀딩스,121440,2015,358513845,91.0,3.37,0.88,3.13,15.69,0.67,-1.8,0.58,70.63,999.3966364595336,0.0,0.0
170,(주)골프존뉴딘홀딩스,121440,2016,361701404,94.1,6.63,0.04,0.14,20.75,1.08,6.86,1.09,47.34,-99.66979166649686,0.0,0.0
171,(주)골프존뉴딘홀딩스,121440,2017,379476576,97.3,3.08,0.97,2.88,10.89,0.88,3.58,0.88,63.78,-850.408680981307,-50.22,0.0
172,(주)골프존뉴딘홀딩스,121440,2018,393332482,98.7,7.85,-1.38,-3.69,27.26,0.82,0.23,0.82,23.21,65.12695341138432,-93.95,0.0
173,(주)골프존뉴딘홀딩스,121440,2019,397876077,101.2,3.91,-0.93,-2.2,13.25,0.74,-0.78,0.88,90.62,-362.951102573402,-425.38,0.0
174,(주)골프존뉴딘홀딩스,121440,2020,430117234,101.6,12.63,1.96,4.79,34.41,0.89,6.55,1.29,132.06,181.7308358108691,0.0,0.0
175,(주)골프존뉴딘홀딩스,121440,2021,438319248,106.3,23.32,2.49,6.91,52.45,1.26,13.67,1.46,35.45,376.9976320210415,143.98,0.0
176,(주)골프존뉴딘홀딩스,121440,2022,399043064,108.8,16.14,1.94,6.04,33.32,1.48,14.68,1.59,51.56,-35.21835817526855,29.04,0.0
177,(주)공구우먼,366030,2022,399043064,108.8,28.23,14.82,240.13,30.4,14.09,29.3,1.59,1157.77,29.25,22.61,0.0
