,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
68,35000,2014,2014-12-30,GⅡR,7690,127403.3752,16567409,2014-12-01,(주)에이치에스애드,137100,9537,11416,11.16007141,0.092424899,123516.5,116730.3333,14.60849918,0.086338013,1,-0.023565973,128231.7457,-0.006459948,1.09143332,1.195953092,16567409,16207644,1004084,359765,35.03
69,36530,2014,2014-12-30,S&T홀딩스,19600,292499.0908,14923423,2014-12-01,(주)SNT홀딩스,137100,66985,61334,4.768955079,0.044926652,1365203,1341970.667,14.60849918,0.086338013,1,0.00544155,242505.6238,0.206153846,0.217962358,1.195953092,14923423,14888459,400000,34964,68.35
70,60980,2014,2014-12-30,한라홀딩스,69500,750787.0245,10802691,2014-12-01,에이치엘홀딩스(주),137100,1081526,473759,1.584744616,0.355685072,1331962,1488028.833,14.60849918,0.086338013,1,-0.197880095,2249936,-0.666307386,0.504551396,1.195953092,10802691,10669088,214545,133603,31.03
71,72710,2014,2014-12-30,농심홀딩스,104000,482330.16,4637790,2014-12-01,(주)농심홀딩스,137100,25646,29895.66667,16.13378171,0.040725547,734076.5,714257.1667,14.60849918,0.086338013,1,-0.000906621,366385.41,0.316455696,0.675289213,1.195953092,4637790,4637790,0,0,66.7
72,78930,2014,2014-12-30,GS,40000,3716615.12,92915378,2014-12-01,(주)지에스,137100,-320729,229129.6667,16.22057577,0.031296612,7321229,7200375.333,14.60849918,0.086338013,1,-0.014856952,5324051.159,-0.301919721,0.516169637,1.195953092,92915378,92895495,0,19883,46.14
73,84690,2014,2014-12-30,대상홀딩스,16800,608370.6384,36212538,2014-12-01,대상홀딩스(주),137100,93074,71920.66667,8.458912669,0.077119939,932582,676161.3333,14.60849918,0.086338013,1,-0.029637967,301288.3162,1.019230769,0.899741834,1.195953092,36212538,36212538,0,0,66.56
74,102260,2014,2014-12-30,동성홀딩스,6690,242275.9751,36214645,2014-12-01,(주)동성케미컬,137100,29105,25787,9.395275722,0.072126324,357525.5,319463,14.60849918,0.086338013,1,0.073056007,144810.3466,0.673057076,0.758385087,1.195953092,36214645,36205970,0,8675,51.62
75,107590,2014,2014-12-30,미원에스씨,301000,218071.189,724489,2014-12-01,미원홀딩스(주),137100,26144,28361.66667,7.688941259,0.17517366,161906,133864.1667,14.60849918,0.086338013,0,-0.132061861,258289.5705,-0.155710435,1.629048269,1.195953092,724489,712730,0,11759,60.22
76,70,2015,2015-12-30,삼양홀딩스,159000,1361719.089,8564271,2015-12-01,(주)삼양홀딩스,137100,78016,24270.66667,56.10554946,0.014066881,1725376.5,1680752.667,18.4470743,0.088216714,1,-0.008587868,768215.1087,0.772575251,0.810184101,1.700646277,8564271,7432019,0,1132252,43.26
77,320,2015,2015-12-30,노루홀딩스,24500,323365.9695,13198611,2015-12-01,(주)노루홀딩스,137100,88214,53762,6.014768228,0.111863522,480603.5,429649.8333,18.4470743,0.088216714,1,-0.036669676,331285.1361,-0.023904382,0.752626777,1.700646277,13198611,10142068,3524000,3056543,46.19
