,Ticker,Name,Precision_SVM
191,376930,노을,0.470108696
184,348210,넥스틴,0.46984127
1421,319660,피에스케이,0.469772727
1210,119860,커넥트웨이브,0.46884058
1125,217190,제너셈,0.468646865
1350,81150,티플랙스,0.468137255
1145,26040,제이에스티나,0.467650104
908,31510,오스템,0.466990291
1468,63570,한국전자금융,0.466666667
687,54800,아이디스홀딩스,0.466666667
85,184230,SGA솔루션즈,0.466131907
954,66590,우수AMS,0.466131907
1128,122310,제노레이,0.464449541
495,439250,삼성스팩7호,0.464285714
996,136540,윈스,0.463846154
822,230360,에코마케팅,0.46361186
1024,388720,유일로보틱스,0.4625
1447,136480,하림,0.462121212
1201,94360,칩스앤미디어,0.460654288
1501,34810,해성산업,0.460539461
1277,121850,코이즈,0.459862385
518,42940,상지카일룸,0.459862385
223,36480,대성미생물,0.457575758
796,200710,에이디테크놀로지,0.457281553
644,208640,썸에이지,0.457264957
873,58970,엠로,0.455825617
754,238120,얼라인드,0.454710145
1327,108230,톱텍,0.45462963
1083,24810,이화전기,0.454177898
1267,355150,코스텍시스,0.453947368
1253,80530,코디,0.453846154
1072,39030,이오테크닉스,0.45379538
180,330860,네패스아크,0.453030303
790,288620,에스퓨얼셀,0.452657005
337,228850,레이언스,0.451713396
832,64850,에프앤가이드,0.451369863
1078,35810,이지홀딩스,0.450937951
1291,405100,큐알티,0.45
445,338220,뷰노,0.445736434
631,418210,신한제10호스팩,0.445
90,89230,THE E&M,0.445
618,1000,신라섬유,0.444909794
496,9300,삼아제약,0.444444444
617,290520,신도기연,0.443939394
879,323230,엠에프엠코리아,0.443933824
756,270660,에브리봇,0.443894389
1473,25770,한국정보통신,0.441513761
1196,4650,창해에탄올,0.441262136
1021,435380,유안타제10호스팩,0.441176471
528,19770,서연탑메탈,0.440026954
347,328130,루닛,0.44
762,298060,에스씨엠생명과학,0.43943299
1011,206650,유바이오로직스,0.437184874
1495,7770,한일화학,0.436926606
237,3310,대주산업,0.436407767
630,226330,신테카바이오,0.435309973
689,339950,아이비김영,0.434848485
1385,9520,포스코엠텍,0.434848485
811,71670,에이테크솔루션,0.434848485
1368,106240,파인테크닉스,0.433823529
1304,433530,키움제7호스팩,0.431818182
514,415580,상상인제3호스팩,0.431818182
1107,101930,인화정공,0.430097087
1274,33290,코웰패션,0.429090909
1475,23760,한국캐피탈,0.428703704
231,6580,대양제지,0.428571429
849,422040,엔에이치스팩23호,0.426470588
1226,25880,케이씨피드,0.425649095
1061,80010,이상네트웍스,0.425579323
1070,95190,이엠코리아,0.425324675
967,30530,원익홀딩스,0.423165138
695,52860,아이앤씨,0.423165138
1193,85660,차바이오텍,0.423165138
88,63440,SM Life Design,0.423165138
6,13720,CBI,0.42282197
902,352910,오비고,0.422752809
1325,51360,토비스,0.420677362
285,30350,드래곤플라이,0.419444444
326,69540,라이트론,0.418577982
1500,430460,한화플러스제3호스팩,0.416666667
729,96610,알에프세미,0.416326531
1321,54450,텔레칩스,0.414321789
482,93190,빅솔론,0.41423519
848,391060,엔에이치스팩20호,0.413793103
588,35610,솔본,0.411725067
341,215100,로보로보,0.411725067
899,14940,오리엔탈정공,0.405555556
1367,441270,파인엠텍,0.402777778
632,393360,신한제8호스팩,0.401960784
1187,18120,진로발효,0.401785714
815,89530,에이티세미콘,0.400641026
1249,402030,코난테크놀로지,0.4
852,440820,엔에이치스팩27호,0.4
975,64090,웨스트라이즈,0.396428571
1499,386580,한화플러스제2호스팩,0.395833333
1044,56090,이노시스,0.393939394
739,293780,압타바이오,0.391744548
1502,03481K,해성산업1우,0.388888889
620,215600,신라젠,0.387878788
576,108860,셀바스AI,0.38646789
1221,424140,케이비제21호스팩,0.385714286
621,65350,신성델타테크,0.385220126
1441,418170,하나금융22호스팩,0.384615385
530,92190,서울바이오시스,0.382407407
604,115570,스타플렉스,0.382407407
388,417970,모델솔루션,0.382352941
591,304100,솔트룩스,0.380363036
1455,400840,하이제7호스팩,0.378787879
688,332370,아이디피,0.377725857
1442,430230,하나금융24호스팩,0.375
625,430220,신영스팩8호,0.375
985,377460,위니아에이드,0.375
851,439410,엔에이치스팩26호,0.375
1303,413600,키움제6호스팩,0.375
1022,430700,유안타제9호스팩,0.375
685,227610,아우딘퓨쳐스,0.37305296
406,412930,미래에셋비전스팩1호,0.369565217
443,14470,부방,0.368518519
161,36800,나이스정보통신,0.367256637
801,3800,에이스침대,0.367256637
