날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2023-06-22,556000 ,575000 ,556000 ,569000 ,567400 ,586250 ,578333 ,545567 ,515875 ,68194 ,6809390 ,
2023-06-21,563000 ,565000 ,556000 ,558000 ,570600 ,586500 ,578333 ,544638 ,514988 ,-4756 ,6741196 ,
2023-06-20,561000 ,568000 ,555000 ,561000 ,576800 ,586600 ,578617 ,543783 ,514148 ,-5878 ,6745952 ,
2023-06-19,579000 ,580000 ,558000 ,561000 ,586000 ,586150 ,578817 ,543038 ,513356 ,-310884 ,6751830 ,
2023-06-16,591000 ,592000 ,582000 ,588000 ,596200 ,586200 ,578567 ,542338 ,512650 ,34847 ,7062714 ,
2023-06-15,594000 ,600000 ,581000 ,585000 ,600400 ,584800 ,577833 ,541500 ,511910 ,56438 ,7027867 ,
2023-06-14,610000 ,614000 ,588000 ,589000 ,601600 ,582550 ,577300 ,540642 ,511190 ,27086 ,6971429 ,
2023-06-13,612000 ,613000 ,604000 ,607000 ,604600 ,580350 ,577083 ,539779 ,510423 ,-14204 ,6944343 ,
2023-06-12,614000 ,614000 ,603000 ,612000 ,602000 ,577350 ,576383 ,538771 ,509560 ,8708 ,6958547 ,
2023-06-09,597000 ,610000 ,597000 ,609000 ,597200 ,574400 ,575317 ,537825 ,508681 ,181085 ,6949839 ,
2023-06-08,601000 ,602000 ,588000 ,591000 ,592200 ,572250 ,574550 ,536888 ,507865 ,-93986 ,6768754 ,
2023-06-07,597000 ,605000 ,597000 ,604000 ,593800 ,570850 ,573883 ,536146 ,507117 ,228061 ,6862740 ,
2023-06-05,590000 ,595000 ,587000 ,594000 ,589000 ,568550 ,572967 ,535404 ,506373 ,34908 ,6634679 ,
2023-06-02,588000 ,591000 ,586000 ,588000 ,585800 ,567050 ,572433 ,534879 ,505677 ,16458 ,6599771 ,
2023-06-01,595000 ,597000 ,584000 ,584000 ,584800 ,566000 ,572067 ,534671 ,504977 ,-45105 ,6583313 ,
2023-05-31,581000 ,604000 ,581000 ,599000 ,585000 ,566350 ,571450 ,534463 ,504321 ,171343 ,6628418 ,
2023-05-30,583000 ,586000 ,575000 ,580000 ,580000 ,565450 ,570433 ,534154 ,503554 ,7553 ,6457075 ,
2023-05-26,580000 ,583000 ,575000 ,578000 ,576000 ,565800 ,569683 ,534188 ,502908 ,-680 ,6449522 ,
2023-05-25,579000 ,591000 ,576000 ,583000 ,570800 ,565250 ,568767 ,534246 ,502260 ,-23685 ,6450202 ,
2023-05-24,574000 ,585000 ,572000 ,585000 ,566600 ,563650 ,567517 ,534279 ,501604 ,38288 ,6473887 ,
